,Name,Link
0,"""Espace mondial"" الرؤية الفرنسية للدراسات العالمية (Sciences Po)",https://coursera.org/learn/espace-mondial-ar
1,"""Making"" Progress Teach-Out (Emory University)",https://coursera.org/learn/makingprogress
2,(Business Writing) الكتابة في مجال الأعمال (University of Colorado Boulder),https://coursera.org/learn/writing-for-business-ar
3,(Giving Helpful Feedback) إعطاء الملاحظات المفيدة (University of Colorado Boulder),https://coursera.org/learn/feedback-ar
4,(Successful Presentation) العرض التقديمي الناجح (University of Colorado Boulder),https://coursera.org/learn/presentation-skills-ar
5,.Net平台下的软件开发技术毕业项目 (Xi'an Jiaotong University),https://coursera.org/learn/net-ruanjian-kaifa-biye
6,1.- El Cálculo - Modelo Lineal (Tecnológico de Monterrey),https://coursera.org/learn/calculo-1
7,2.- El Cálculo - Modelo Cuadrático (Tecnológico de Monterrey),https://coursera.org/learn/calculo-2
8,20世纪西方音乐 Western Music in the 20th Century (Peking University),https://coursera.org/learn/20cnwm
9,3-Axis Machining with Autodesk Fusion 360 (Autodesk),https://coursera.org/learn/3-axis-machining-autodesk-fusion-360
10,3.- El Cálculo - Modelo Cúbico (Tecnológico de Monterrey),https://coursera.org/learn/calculo-3
11,3D Art and Audio Pipeline (Unity),https://coursera.org/learn/3d-art-and-audio-pipeline
12,3D CAD Application (National Taiwan University),https://coursera.org/learn/3d-cad-application
13,3D CAD Fundamental (National Taiwan University),https://coursera.org/learn/3d-cad-fundamental
14,3D Data Visualization for Science Communication (University of Illinois at Urbana-Champaign),https://coursera.org/learn/data-visualization-science-communication
15,3D Graphics in Android: Sensors and VR (Imperial College London),https://coursera.org/learn/3d-graphics-android-sensors-vr
16,Atención prehospitalaria del ictus agudo y selección de pacientes para tratamiento endovascular con la escala RACE (Universitat de Barcelona),https://coursera.org/learn/ictus-agudo-escala-race
17,Brand & Content Marketing (IE Business School),https://coursera.org/learn/brand-and-content-marketing
18,"Comercio, Inmigración y Tipos de Cambio en un Mundo Globalizado (IE Business School)",https://coursera.org/learn/comercio-inmigracion-tipos-de-cambio
19,FPGA computing systems: Background knowledge and introductory materials (Politecnico di Milano),https://coursera.org/learn/fpga-intro
20,Future Healthcare Payment Models (Northeastern University ),https://coursera.org/learn/healthcare-payment-models
21,G Suite Security (Google Cloud),https://coursera.org/learn/g-suite-security
22,IT Security: Defense against the digital dark arts (Google),https://coursera.org/learn/it-security
23,Intel® Network Academy - Network Transformation 101 (Intel),https://coursera.org/learn/network-transformation-101
24,Introduction to G Suite (Google Cloud),https://coursera.org/learn/introduction-g-suite
25,Know Thyself - The Value and Limits of Self-Knowledge: The Examined Life (The University of Edinburgh),https://coursera.org/learn/know-thyself-the-examined-life
26,Managing G Suite (Google Cloud),https://coursera.org/learn/managing-g-suite
27,Mandarin Chinese for Intermediate Learners: Part 1 (Shanghai Jiao Tong University),https://coursera.org/learn/mandarin-chinese-intermediate-learners-1
28,Modernizing Data Lakes and Data Warehouses with GCP (Google Cloud),https://coursera.org/learn/data-lakes-data-warehouses-gcp
29,Prehospital care of acute stroke and patient selection for endovascular treatment using the RACE scale (Universitat de Barcelona),https://coursera.org/learn/acute-stroke-race-scale
30,System Administration and IT Infrastructure Services (Google),https://coursera.org/learn/system-administration-it-infrastructure-services
31,"Бизнес на свои (National Research Tomsk State University, ФРОО, Mосигра)",https://coursera.org/learn/biznes-na-svoi-mosigra
32,Закон стартапа: юридические основы технологического бизнеса (Moscow Institute of Physics and Technology),https://coursera.org/learn/zakon-startapa-tekhnologicheskogo-biznesa
33,Русский как иностранный: B1+. Часть 2. Russian as a foreign language. B1+. Part 2. (Saint Petersburg State University),https://coursera.org/learn/russkiy-kak-inostrannyy-b1-2
34,一堂課讓你認識肺癌（Basic Concepts of Lung Cancer: Diagnosis and Treatment） (National Taiwan University),https://coursera.org/learn/lung-cancer
35,"3D Interaction Design in Virtual Reality (University of London, Goldsmiths, University of London)",https://coursera.org/learn/3d-interaction-design-virtual-reality
36,3D Interactions and Navigation (Unity),https://coursera.org/learn/3d-interactions-and-navigation
37,3D Model Creation with Autodesk Fusion 360 (Autodesk),https://coursera.org/learn/3d-model-creation-fusion-360
38,"3D Models for Virtual Reality (University of London, Goldsmiths, University of London)",https://coursera.org/learn/3d-models-virtual-reality
39,3D Printing Applications (University of Illinois at Urbana-Champaign),https://coursera.org/learn/3d-printing-applications
40,3D Printing Hardware (University of Illinois at Urbana-Champaign),https://coursera.org/learn/3d-print-hardware
41,3D Printing Software (University of Illinois at Urbana-Champaign),https://coursera.org/learn/3d-printing-software
