,Name,Url,Rating,Difficulty,Tags
0,"""Making"" Progress Teach-Out",https://coursera.org/learn/makingprogress,None,Beginner Level,"['Social Sciences', 'Governance and Society']"
1,(Business Writing) الكتابة في مجال الأعمال,https://coursera.org/learn/writing-for-business-ar,None,Beginner Level,"['Business', 'Business Essentials']"
2,(Giving Helpful Feedback) إعطاء الملاحظات المفيدة,https://coursera.org/learn/feedback-ar,4.8,None,"['Business', 'Business Essentials']"
3,(Successful Presentation) العرض التقديمي الناجح,https://coursera.org/learn/presentation-skills-ar,4.9,Beginner Level,"['Business', 'Business Essentials']"
4,.Net平台下的软件开发技术毕业项目,https://coursera.org/learn/net-ruanjian-kaifa-biye,None,None,"['Computer Science', 'Software Development']"
5,1.- El Cálculo - Modelo Lineal,https://coursera.org/learn/calculo-1,4.7,None,"['Math and Logic', 'Math and Logic']"
6,2.- El Cálculo - Modelo Cuadrático,https://coursera.org/learn/calculo-2,4.7,None,"['Math and Logic', 'Math and Logic']"
7,20世纪西方音乐 Western Music in the 20th Century,https://coursera.org/learn/20cnwm,4.3,Beginner Level,"['Arts and Humanities', 'Music and Art']"
8,3-Axis Machining with Autodesk Fusion 360,https://coursera.org/learn/3-axis-machining-autodesk-fusion-360,5,Advanced Level,"['Physical Science and Engineering', 'Mechanical Engineering']"
9,3.- El Cálculo - Modelo Cúbico,https://coursera.org/learn/calculo-3,4.7,None,"['Math and Logic', 'Math and Logic']"
10,3D Art and Audio Pipeline,https://coursera.org/learn/3d-art-and-audio-pipeline,4.3,Intermediate Level,"['Computer Science', 'Software Development']"
11,3D CAD Application,https://coursera.org/learn/3d-cad-application,4.9,Intermediate Level,"['Physical Science and Engineering', 'Mechanical Engineering']"
12,3D CAD Fundamental,https://coursera.org/learn/3d-cad-fundamental,4.8,Beginner Level,"['Physical Science and Engineering', 'Mechanical Engineering']"
13,3D Data Visualization for Science Communication,https://coursera.org/learn/data-visualization-science-communication,None,Beginner Level,"['Data Science', 'Data Analysis']"
